"","Area","Region","YearPeriod","AVG_Percent"
"1277","Guinea-Bissau","Africa","Y20162018","93"
"1278","Guinea-Bissau","Africa","Y20172019","94"
"1279","Guinea-Bissau","Africa","Y20182020","93"
"1280","Guinea-Bissau","Africa","Y20192021","94"
"1281","Guinea-Bissau","Africa","Y20202022","94"
"1282","Kenya","Africa","Y20002002","94"
"1283","Kenya","Africa","Y20012003","93"
"1284","Kenya","Africa","Y20022004","92"
"1285","Kenya","Africa","Y20032005","94"
"1286","Kenya","Africa","Y20042006","96"
"1287","Kenya","Africa","Y20052007","97"
"1288","Kenya","Africa","Y20062008","96"
"1289","Kenya","Africa","Y20072009","96"
"1290","Kenya","Africa","Y20082010","98"
"1291","Kenya","Africa","Y20092011","100"
"1292","Kenya","Africa","Y20102012","101"
"1293","Kenya","Africa","Y20112013","102"
"1294","Kenya","Africa","Y20122014","102"
"1295","Kenya","Africa","Y20132015","102"
"1296","Kenya","Africa","Y20142016","101"
"1297","Kenya","Africa","Y20152017","100"
"1298","Kenya","Africa","Y20162018","99"
"1299","Kenya","Africa","Y20172019","101"
"1300","Kenya","Africa","Y20182020","101"
"1301","Kenya","Africa","Y20192021","101"
"1302","Kenya","Africa","Y20202022","99"
"1303","Lesotho","Africa","Y20002002","102"
"1304","Lesotho","Africa","Y20012003","104"
"1305","Lesotho","Africa","Y20022004","106"
"1306","Lesotho","Africa","Y20032005","108"
"1307","Lesotho","Africa","Y20042006","110"
"1308","Lesotho","Africa","Y20052007","112"
"1309","Lesotho","Africa","Y20062008","113"
"1310","Lesotho","Africa","Y20072009","113"
"1311","Lesotho","Africa","Y20082010","113"
"1312","Lesotho","Africa","Y20092011","113"
"1313","Lesotho","Africa","Y20102012","111"
"1314","Lesotho","Africa","Y20112013","108"
"1315","Lesotho","Africa","Y20122014","103"
"1316","Lesotho","Africa","Y20132015","97"
"1317","Lesotho","Africa","Y20142016","93"
"1318","Lesotho","Africa","Y20152017","91"
"1319","Lesotho","Africa","Y20162018","93"
"1320","Lesotho","Africa","Y20172019","92"
"1321","Lesotho","Africa","Y20182020","89"
"1322","Lesotho","Africa","Y20192021","86"
"1323","Lesotho","Africa","Y20202022","85"
"1324","Liberia","Africa","Y20002002","98"
"1325","Liberia","Africa","Y20012003","97"
"1326","Liberia","Africa","Y20022004","98"
"1327","Liberia","Africa","Y20032005","99"
"1328","Liberia","Africa","Y20042006","100"
"1329","Liberia","Africa","Y20052007","101"
"1330","Liberia","Africa","Y20062008","103"
"1331","Liberia","Africa","Y20072009","105"
"1332","Liberia","Africa","Y20082010","104"
"1333","Liberia","Africa","Y20092011","101"
"1334","Liberia","Africa","Y20102012","98"
"1335","Liberia","Africa","Y20112013","97"
"1336","Liberia","Africa","Y20122014","97"
"1337","Liberia","Africa","Y20132015","97"
"1338","Liberia","Africa","Y20142016","98"
"1339","Liberia","Africa","Y20152017","99"
"1340","Liberia","Africa","Y20162018","99"
"1341","Liberia","Africa","Y20172019","98"
"1342","Liberia","Africa","Y20182020","97"
"1343","Liberia","Africa","Y20192021","96"
"1344","Liberia","Africa","Y20202022","95"
"1345","Libya","Africa","Y20002002","132"
"1346","Libya","Africa","Y20012003","132"
"1347","Libya","Africa","Y20022004","132"
"1348","Libya","Africa","Y20032005","132"
"1349","Libya","Africa","Y20042006","132"
"1350","Libya","Africa","Y20052007","132"
"1351","Libya","Africa","Y20062008","132"
"1352","Libya","Africa","Y20072009","132"
"1353","Libya","Africa","Y20082010","129"
"1354","Libya","Africa","Y20092011","128"
"1355","Libya","Africa","Y20102012","130"
"1356","Libya","Africa","Y20112013","136"
"1357","Libya","Africa","Y20122014","139"
"1358","Libya","Africa","Y20132015","137"
"1359","Libya","Africa","Y20142016","136"
"1360","Libya","Africa","Y20152017","135"
"1361","Libya","Africa","Y20162018","135"
"1362","Libya","Africa","Y20172019","136"
"1363","Libya","Africa","Y20182020","136"
"1364","Libya","Africa","Y20192021","137"
"1365","Libya","Africa","Y20202022","136"
"1366","Madagascar","Africa","Y20002002","95"
"1367","Madagascar","Africa","Y20012003","94"
"1368","Madagascar","Africa","Y20022004","94"
"1369","Madagascar","Africa","Y20032005","95"
"1370","Madagascar","Africa","Y20042006","96"
"1371","Madagascar","Africa","Y20052007","98"
"1372","Madagascar","Africa","Y20062008","98"
"1373","Madagascar","Africa","Y20072009","98"
"1374","Madagascar","Africa","Y20082010","97"
"1375","Madagascar","Africa","Y20092011","97"
"1376","Madagascar","Africa","Y20102012","97"
"1377","Madagascar","Africa","Y20112013","96"
"1378","Madagascar","Africa","Y20122014","93"
"1379","Madagascar","Africa","Y20132015","90"
"1380","Madagascar","Africa","Y20142016","89"
"1381","Madagascar","Africa","Y20152017","88"
"1382","Madagascar","Africa","Y20162018","87"
"1383","Madagascar","Africa","Y20172019","86"
"1384","Madagascar","Africa","Y20182020","84"
"1385","Madagascar","Africa","Y20192021","83"
"1386","Madagascar","Africa","Y20202022","82"
"1387","Malawi","Africa","Y20002002","107"
"1388","Malawi","Africa","Y20012003","107"
"1389","Malawi","Africa","Y20022004","106"
"1390","Malawi","Africa","Y20032005","106"
"1391","Malawi","Africa","Y20042006","108"
"1392","Malawi","Africa","Y20052007","110"
"1393","Malawi","Africa","Y20062008","113"
"1394","Malawi","Africa","Y20072009","114"
"1395","Malawi","Africa","Y20082010","117"
"1396","Malawi","Africa","Y20092011","120"
"1397","Malawi","Africa","Y20102012","123"
"1398","Malawi","Africa","Y20112013","123"
"1399","Malawi","Africa","Y20122014","123"
